paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Source Material::Extracted Value,RHA Processing Method::Extracted Value,RHA Processing Parameters::Extracted Value,Activation Method::Extracted Value,Activation Parameters::Extracted Value,Carbonation Conditions::Extracted Value,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Duration::Extracted Value,Mechanical Activation Method::Extracted Value,Grinding Duration::Extracted Value,Grinding Speed::Extracted Value,Other Activation Conditions::Extracted Value,Water-to-Binder Ratio (w/b)::Extracted Value,Particle Size Distribution::Extracted Value,d10::Extracted Value,d50::Extracted Value,d90::Extracted Value,Mean Particle Size::Extracted Value,Specific Surface Area::Extracted Value,BET Surface Area::Extracted Value,Blaine Fineness::Extracted Value,Water Absorption Capacity::Extracted Value,Specific Gravity::Extracted Value,Bulk Density::Extracted Value,SiO2::Extracted Value,CaO::Extracted Value,Al2O3::Extracted Value,Fe2O3::Extracted Value,MgO::Extracted Value,SO3::Extracted Value,Na2O::Extracted Value,K2O::Extracted Value,Loss on Ignition (LOI)::Extracted Value,Other Reported Oxides::Extracted Value,XRD Phases::Extracted Value,Mineral Composition::Extracted Value,Amorphous Content::Extracted Value,Pozzolanic Reactivity::Extracted Value,Pozzolanic Activity Index::Extracted Value,Strength Activity Index::Extracted Value,Heat Release Data::Extracted Value,Other Reactivity Indicators::Extracted Value,Cement Replacement Level(s)::Extracted Value,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Extracted Value,Compressive Strength::Extracted Value,Relative Compressive Strength (% of control if reported)::Extracted Value,7-Day Heat Release::Extracted Value,Relative Heat Release (% of control if reported)::Extracted Value,Initial Setting Time::Extracted Value,Final Setting Time::Extracted Value,Flexural Strength::Extracted Value,Relative Flexural Strength (% of control if reported)::Extracted Value,Shrinkage::Extracted Value,Relative Shrinkage (% of control if reported)::Extracted Value,Material Type::Unit,Source Material::Unit,RHA Processing Method::Unit,RHA Processing Parameters::Unit,Activation Method::Unit,Activation Parameters::Unit,Carbonation Conditions::Unit,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Unit,Mechanical Activation Method::Unit,Grinding Duration::Unit,Grinding Speed::Unit,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Unit,d10::Unit,d50::Unit,d90::Unit,Mean Particle Size::Unit,Specific Surface Area::Unit,BET Surface Area::Unit,Blaine Fineness::Unit,Water Absorption Capacity::Unit,Specific Gravity::Unit,Bulk Density::Unit,SiO2::Unit,CaO::Unit,Al2O3::Unit,Fe2O3::Unit,MgO::Unit,SO3::Unit,Na2O::Unit,K2O::Unit,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Unit,XRD Phases::Unit,Mineral Composition::Unit,Amorphous Content::Unit,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Unit,Strength Activity Index::Unit,Heat Release Data::Unit,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Unit,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Unit,Final Setting Time::Unit,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Unit
37,The Effect of Incineration Temperature to the Chemical and Physical Properties of Ultrafine Treated Rice Husk Ash (UFTRHA) as Supplementary Cementing Material (SCM),"Siti Asmahani Saad, Muhd Fadhil Nuruddin, Nasir Shafiq, and Maisarah Ali",Procedia Engineering,2016,10.1016/j.proeng.2016.06.515,Ultrafine treated rice husk ash (UFTRHA) / treated rice husk ash / pretreated rice husk ash,Raw rice husk,"Thermochemical pretreatment using 0.1N hydrochloric acid (HCl), oven drying, conventional laboratory furnace incineration, and mechanical milling using planetary ball mill",Incineration temperatures: 700°C and 800°C; Retention time: 1 hour; Drying temperature: 110°C,Thermochemical pretreatment and mechanical activation,HCl concentration: 0.1N; Pretreatment heating temperature: 80°C; Pretreatment soaking duration: 1 to 4 hours; Milling duration: 15 minutes; Rotation speed: 300 rpm; Ball-to-powder ratio (BPR): 15:1,,"700°C, 800°C",1 hour,High energy planetary ball mill,15,300,"Pretreatment soaking duration: 1 hour, 2 hours, 3 hours, 4 hours; Pretreatment heating temperature: 80°C; Ball-to-powder ratio (BPR): 15:1",,"D10: 1.434, 1.377, 1.436, 1.181, 1.417, 1.641; D50: 4.552, 4.798, 4.508, 4.521, 4.493, 4.501; D90: 13.996, 15.470, 14.334, 17.637, 14.884, 15.331","1.434 (1h soaking, 700°C); 1.377 (1h soaking, 800°C); 1.436 (2h soaking, 700°C); 1.181 (2h soaking, 800°C); 1.417 (3h soaking, 700°C); 1.641 (3h soaking, 800°C)","4.552 (1h soaking, 700°C); 4.798 (1h soaking, 800°C); 4.508 (2h soaking, 700°C); 4.521 (2h soaking, 800°C); 4.493 (3h soaking, 700°C); 4.501 (3h soaking, 800°C)","13.996 (1h soaking, 700°C); 15.470 (1h soaking, 800°C); 14.334 (2h soaking, 700°C); 17.637 (2h soaking, 800°C); 14.884 (3h soaking, 700°C); 15.331 (3h soaking, 800°C)",,,,,,,,97.00 (700°C); 80.10 (800°C),0.46 (700°C); 0.48 (800°C),0.09 (700°C); NULL (800°C),0.25 (700°C); 13.70 (800°C),NULL (700°C); 0.89 (800°C),,,0.11 (700°C); 2.07 (800°C),,"P2O5: 1.63 (700°C), 2.12 (800°C); MnO: NULL (700°C), 0.24 (800°C); ZrO2: 0.25 (700°C), 0.12 (800°C)",,,97.00,,,,,,,,,,,,,,,,,,,,,,,,,°C,hour,,minutes,rpm,,,µm,µm,µm,µm,,,,,,,,%,%,%,%,%,,,%,,%,,,%,,,,,,,,,,,,,,,,,
38,Properties of bacterial rice husk ash concrete,"Rafat Siddique, Karambir Singh, Kunal, Malkit Singh, Valeria Corinaldesi, Anita Rajor",Construction and Building Materials,2016,http://dx.doi.org/10.1016/j.conbuildmat.2016.05.146,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,,,,,,,,,,0.5,,,,,,,,,,,,90.4,,1.7,1.6,0.7,,,,,alkali oxides: 3.2%,amorphous silica,,90.4,reactive pozzolanic material,,,,,"0, 5, 10, 15, 20",10,"Without Bacteria:
 R0: 22.5 (7 d), 32.8 (28 d), 36.5 (56 d)
 R5: 23.4 (7 d), 34.2 (28 d), 39.0 (56 d)
 R10: 24.3 (7 d), 36.1 (28 d), 41.4 (56 d)
 R15: 22.5 (7 d), 35.3 (28 d), 39.9 (56 d)
 R20: 20.8 (7 d), 33.1 (28 d), 38.0 (56 d)
With Bacteria (10^5 cells/mL):
 BR0: 23.4 (7 d), 35.8 (28 d), 40.8 (56 d)
 BR5: 24.5 (7 d), 38.0 (28 d), 43.0 (56 d)
 BR10: 25.8 (7 d), 40.0 (28 d), 46.8 (56 d)
 BR15: 24.1 (7 d), 38.5 (28 d), 44.0 (56 d)
 BR20: 21.3 (7 d), 36.3 (28 d), 42.2 (56 d)"," R10 vs Control: +8.7% (7 d), +10% (28 d), +13.4% (56 d)
 BR10 vs Control (R0): +10.2% (7 d), +11.8% (28 d), +14.7% (56 d)
 BR10 vs R10: +6.2% (7 d), +10.7% (28 d), +13% (56 d)
 Bacterial concrete overall vs Control: +9% (28 d), +11.8% (56 d)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,%,%,%,,,,,%,,,%,,,,,,%,%,MPa,%,,,,,,,,
39,To Study Strength Characteristics of Concrete with Rice Husk Ash,"Paramveer Singh, Tarunbir Singh, Gurpreet Singh",Indian Journal of Science and Technology,2016,10.17485/ijst/2016/v9i47/105272,Rice Husk Ash (RHA),Rice Sheller,Processed to size less than 45 microns,Size less than 45 microns,,,,,,,,,,0.40,,,,,Less than 45,,,,,2.3,,,,,,,,,,,,,,,,,,,,"5, 10, 15, 20",10 (Compressive Strength and Flexural Strength); 5 (Split Tensile Strength),"7 Days: CM = 33.24, M-RHA5 = 34.67, M-RHA10 = 32.89, M-RHA15 = 31.11, M-RHA20 = 30.22; 28 Days: CM = 47.47, M-RHA5 = 48.53, M-RHA10 = 46.8, M-RHA15 = 40.53, M-RHA20 = 33.78",28 Days: M-RHA5 increased by 2.1%; M-RHA10 decreased by 1.4%; M-RHA15 decreased by 14.6%; M-RHA20 decreased by 28.8%,,,,,"7 Days: CM = 3.9, M-RHA5 = 4.25, M-RHA10 = 3.5, M-RHA15 = 3.15, M-RHA20 = 2.5; 28 Days: CM = 4.9, M-RHA5 = 5.5, M-RHA10 = 4.72, M-RHA15 = 3.9, M-RHA20 = 3.15",28 Days: M-RHA5 increased by 10.9% (or 12%); M-RHA10 decreased by 3% (or 3.6%); M-RHA15 decreased by 20.4%; M-RHA20 decreased by 35.7%,,,,,,?m,,,,,,,,,,,,,,,?m,,,,,,,,,,,,,,,,,,,,,,,,,%,%,N/mm²,%,,,,,N/mm²,%,,
40,Structure and properties of mortar and concrete with rice husk ash as partial replacement of ordinary Portland cement A review,"Fapohunda Christopher, Akinbile Bolatito, Shittu Ahmed",International Journal of Sustainable Built Environment,2017,http://dx.doi.org/10.1016/j.ijsbe.2017.07.004,Rice husk ash (RHA),Rice husk,Incineration under controlled conditions / controlled incineration,Burning temperature range of 500700 °C / 600700 °C,Grinding / Mechanical grinding,Grinding to high specific surface area up to 7000 cm²/g or median particle size below 45 µm / 8 µm,,500700 °C (also noted up to 750 °C in Table 1),"30, 60, and 90 min (also 2 h, 2 days batch in Table 1)",Los Angeles grinding machine / Grinding,"30 min, 60 min, 360 min",,Acid pretreatment / Hydrochloric acid pretreatment,"0.18, 0.25, 0.30, 0.32, 0.33, 0.34, 0.35, 0.40, 0.43, 0.50, 0.53, 0.59, 0.60, 0.68, 0.75","Micro-pores; micropores (<2 nm), mesopores (250 nm), macropores (>50 nm)",,"8 µm, 5.6 µm, 5 µm, 95 µm",,"<11.5 µm, <45 µm","0.52.1, 76122, 100150, 610, <5",,7000,Higher water absorption / increased water demand (up to 100% higher water demand),2.052.53,,67.097.53 (Individual study values in Table 3 range from 73.60 to 97.53; overall range 6797 in Table 4),0.066.0 (Individual study values in Table 3 range from 0.22 to 3.30; country values in Table 4 up to 6.0),0.076.19 (Traces to 6.19 in Table 3; 0.155.0 in Table 4),0.063.65 (Table 3 reports 0.10 to 3.65; Table 4 reports 0.06 to 2.8),0.101.81 (Table 3 reports 0.10 to 1.58; Table 4 reports 0.1 to 1.81),0.011.54 (Table 3 reports 0.01 to 1.21; Table 4 reports 0 to 1.54),0.001.15 (Table 3 reports 0.00 to 1.12; Table 4 reports 0 to 1.15),0.044.73 (Table 3 reports 0.04 to 4.73; Table 4 reports 0 to 3.84),0.2522.90 (Table 3 reports 0.25 to 22.90; Table 4 reports up to 17.78),Sum of SiO2+Al2O3+Fe2O3 (SAF): 70.098.8,"Amorphous, non-crystalline, partially crystalline, crystalline (coral-shaped crystals)",Silica ash (predominantly silica SiO2),High amorphous silica content of about 97.4% (or highest amorphous silica obtained at 500700 °C),High pozzolanic activity; reactive under alkaline conditions,100%,SAI / Accelerated pozzolanic strength reactivity index (API) evaluated,Heat produced at early age hydration / stimulates early hydration heat,"Frattini test method, conductivity measurement","0%, 5%, 10%, 12%, 15%, 20%, 25%, 30%, 40%, 50%","10% (up to 10% replacement cited as general optimal for comparable strength; individual studies report optimums of 10%, 15%, 20%, or 30% in Table 6)","Values up to >100 MPa (GRAPH-DERIVED from Fig. 6: OPC ~7598 MPa, RHA10 ~80110 MPa, RHA15 ~82108 MPa, RHA20 ~80105 MPa across 1100 days)",Higher than control at later ages (90 days and above); comparable or slightly higher up to 1020% replacement level,,,"Increased with RHA (GRAPH-DERIVED from Fig. 3: IST increases from ~150220 min at 0% RHA to ~300450 min at 50% RHA across OPC grades 33, 43, 53)","Increased with RHA (GRAPH-DERIVED from Fig. 3: FST increases from ~280350 min at 0% RHA to ~550850 min at 50% RHA across OPC grades 33, 43, 53)",Increased by 615% compared to corresponding mixes without RHA,106%115%,Drastic reduction in drying shrinkage with progressive increase in RHA replacement level,,,,,°C,,cm²/g / µm,,°C,min / h / days,,min,,,,nm,,µm,,µm,m²/g,,cm²/g,%,,,%,%,%,%,%,%,%,%,%,%,,%,%,,%,,,,%,%,MPa,%,,,Minutes,Minutes,%,%,,
41,Optimal Raw Material Mix for the Production of Rice Husk Ash Blended Cement,Akeem Ayinde Raheem and Mutiu Abiodun Kareem,International Journal of Sustainable Construction Engineering & Technology,2017,,Rice Husk Ash (RHA),Rice husk collected from Rice Milling Industries in Ogbomoso (Oyo State),"Burning dried rice husks using a mud kiln, followed by cooling and sieving through a 45µm sieve",Temperature increasing to 600°C in about 8 h; sieved using 45µm sieve,Thermal (Burning in mud kiln),Temperature up to 600°C for ~8 h,,600,8,,,,Sieved using 45µm sieve,,,,,,,,,,,,,"81.04, 86.51, 78.87 (Average: 82.14)","1.60, 0.71, 1.33 (Average: 1.21)","0.61, 1.80, 1.61 (Average: 1.34)","0.60, 1.01, 2.20 (Average: 1.27)","1.53, 2.11, 2.25 (Average: 1.96)","0.03, 0.02, 0.45 (Average: 0.17)","0.16, 0.05, 0.21 (Average: 0.14)","2.35, 1.89, 2.03 (Average: 2.09)",,"P?O?: 9.87, 4.20, 5.26 (Average: 6.44)",,,,Combined SiO? + Al?O? + Fe?O? > 70% (Satisfies ASTM C 618 pozzolan requirement),,,,,"5.00, 7.00, 11.25, 15.00, 15.50, 20.25, 25.00",12.45,"2-day: 4.95  11.46 (Optimum: 11.32)
7-day: 10.16  17.45 (Optimum: 16.36)
28-day: 15.89  26.82 (Optimum: 43.57)
56-day: 17.97  33.27 (Optimum: 39.91)
90-day: 22.65  37.50 (Optimum: 50.11)",,,,25  445 (Optimum: 180.77),45  725 (Optimum: 401.04),,,,,,,,"°C, h, µm",,"°C, h",,°C,h,,,,µm,,,,,,,,,,,,,%,%,%,%,%,%,%,%,,%,,,,%,,,,,%,%,N/mm²,,,,min,min,,,,
42,Rice husk ash as a partial replacement of cement in high strength concrete containing micro silica: Evaluating durability and mechanical properties,"Seyed Alireza Zareei, Farshad Ameri, Farzan Dorostkar, Mojtaba Ahmadi",Case Studies in Construction Materials,2017,http://dx.doi.org/10.1016/j.cscm.2017.05.001,Rice husk ash (RHA),Rice husk,Laboratory mill burning,Temperature of 600°C for 5 h,Thermal Treatment,"Temperature: 600°C, Duration: 5 h",,600,5,,,,,0.40,,,,,,,,,,,,86.73,0.39,0.04,0.61,0.08,1.32,9.76,0.01,0.54,"TiO2: NULL, P2O5: NULL",,,,Highly pozzolanic,,,,,"0, 5, 10, 15, 20, 25",20,"CTL (7d: 50.84, 28d: 83.36); RHA 5% (7d: 51.92, 28d: 85.12); RHA 10% (7d: 53, 28d: 86.9); RHA 15% (7d: 56.43, 28d: 92.51); RHA 20% (7d: 56.67, 28d: 93.28); RHA 25% (7d: 54.35, 28d: 89.1)",,,,,,,,,,,,,,,,,°C,h,,,,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,%,,,,,,,,,%,%,MPa,%,,%,,,,%,,%
43,Potential of Rice Husk Ash (RHA) as a Supplementary Cementitious Material in Concrete,Mohammad Badrul Ahsan and Zahid Hossain,Advances in Civil Engineering Materials,2018,10.1520/ACEM20170114,"Rice Husk Ash (RHA) / 600-RHA, 150-RHA, and 44-RHA",Rice husk / hull (RH),Grinding,"Particle sizes: 600 µm, 150 µm, and 44 µm",Mechanical Activation (Grinding),,,,,Grinding,,,,0.45 (concrete mixes); 0.47 (mortar bar mixes),"600, 150, 44",,,,600 (600-RHA); 150 (150-RHA); 44 (44-RHA),18.038 (600-RHA); 22.114 (150-RHA); 39.780 (44-RHA),18.038 (600-RHA); 22.114 (150-RHA); 39.780 (44-RHA),,,,,,,,,,,,,8.98 (600-RHA); 8.98 (150-RHA); 5.4 (44-RHA),Reactive oxides (SiO? + Al?O? + Fe?O?): 95.5 (600-RHA); 95.5 (150-RHA); 86.8 (44-RHA),,Amorphous or non-crystalline silica,> 80,High pozzolanic activity reported for finer RHA (44-RHA),,,,ASTM C1567 ASR Expansion at 14 days: 10% 600-RHA = 0.26%; 20% 600-RHA = 0.33%; 10% 150-RHA = 0.18%; 20% 150-RHA = 0.22%; 10% 44-RHA = 0.024%; 20% 44-RHA = 0.078%; Control = 0.13%,"10, 20",10,36.1 (Control); 20.1 (10% 600-RHA); 16.2 (20% 600-RHA); 22.8 (10% 150-RHA); 16.8 (20% 150-RHA); 37.7 (10% 44-RHA); 36.6 (20% 44-RHA),56 (10% 600-RHA); 45 (20% 600-RHA); 63 (10% 150-RHA); 47 (20% 150-RHA); 104.4 (10% 44-RHA),,,,,4.17 (Control); 3.14 (10% 600-RHA); 2.69 (20% 600-RHA); 3.62 (10% 150-RHA); 2.79 (20% 150-RHA); 4.72 (10% 44-RHA); 4.41 (20% 44-RHA),75 (10% 600-RHA); 87 (10% 150-RHA); 113 (10% 44-RHA),,,,,,µm,,,,,,,,,,,µm,,,,µm,m²/g,m²/g,,,,,,,,,,,,,%,%,,%,%,,,,,%,%,%,MPa,%,,,,,MPa,%,,
44,Supplemental use of rice husk ash (RHA) as a cementitious material in concrete industry,"Mohammad Badrul Ahsan, Zahid Hossain",Construction and Building Materials,2018,https://doi.org/10.1016/j.conbuildmat.2018.05.101,Rice husk ash (RHA),Rice hull / paddy grain,Hammer mill grinding (for RHA-2); Unmodified / As-received (for RHA-1); Commercial production (for RHA-3),Nominal power rating: 85 hp; Rotor speed: 2000 rpm (for hammer mill processing of RHA-2),Mechanical activation (grinding for RHA-2),Rotor speed: 2000 rpm,,,,Hammer mill (impact crusher) grinding,,2000,,0.45 (for concrete mixes); 0.47 (for mortar bars),,,,,600 (RHA-1); 150 (RHA-2); 44 (RHA-3),18.038 (RHA-1); 22.114 (RHA-2); 39.780 (RHA-3),18.038 (RHA-1); 22.114 (RHA-2); 39.780 (RHA-3),,,,,>75,,,,,,,,8.98 (RHA-1); 8.98 (RHA-2); 5.4 (RHA-3),"Reactive oxides (SiO2+Al2O3+Fe2O3): 95.5% (RHA-1), 95.5% (RHA-2), 86.8% (RHA-3)",,,>80,,,,,,"10, 20",10,20.1 (10% RHA-1); 16.2 (20% RHA-1); 22.8 (10% RHA-2); 16.8 (20% RHA-2); 37.7 (10% RHA-3); 36.6 (20% RHA-3); 36.1 (Control),56 (10% RHA-1); 63 (10% RHA-2); 110.2 (10% RHA-3),,,,,3.14 (10% RHA-1); 2.69 (20% RHA-1); 3.62 (10% RHA-2); 2.79 (20% RHA-2); 4.72 (10% RHA-3); 4.41 (20% RHA-3); 4.17 (Control),75 (10% RHA-1); 87 (10% RHA-2); 121 (10% RHA-3),,,,,,"hp, rpm",,rpm,,,,,,rpm,,,,,,,µm,m²/g,m²/g,,,,,%,,,,,,,,%,%,,,%,,,,,,%,%,MPa,%,,,,,MPa,%,,
45,Effect of Rice Husk Ash and Water-Cement Ratio on Strength of Concrete,"Naraindas Bheel, Shanker Lal Meghwar, Sohail Ahmed Abbasi, Lal Chand Marwari, Jabbar Ahmed Mugeri, Rameez Ali Abbasi",Civil Engineering Journal,2018,10.28991/cej-03091166,Rice Husk Ash (RHA) / Rice Husk Ash,Rice husk,"Burning in closed combustion chamber, cooling, and sieving",Sieved through #30 sieve,Thermal treatment,Controlled/uncontrolled burning temperature range,,600-850,24 (cooling duration),,,,,"0.45, 0.50, 0.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,"Cubical (w/c 0.45): 24.54 (7d), 27.35 (14d), 33.25 (28d), 41.68 (56d); Cubical (w/c 0.50): 21 (7d), 25.5 (14d), 30.2 (28d), 35.86 (56d); Cubical (w/c 0.60): 20.4 (7d), 23.86 (14d), 29.10 (28d), 33.5 (56d); Cylindrical (w/c 0.45): 16.89 (7d), 22.085 (14d), 28.23 (28d), 34.16 (56d); Cylindrical (w/c 0.50): 14.69 (7d), 19.66 (14d), 22.44 (28d), 26.68 (56d); Cylindrical (w/c 0.60): 13.95 (7d), 16.81 (14d), 19.53 (28d), 23.04 (56d)","Cubical (w/c 0.45): +3.98% (7d), +8.10% (14d), +10.09% (28d), +14.51% (56d); Cubical (w/c 0.50): +3.45% (7d), +7.59% (14d), +9.49% (28d), +13.41% (56d); Cubical (w/c 0.60): +3.03% (7d), +6.52% (14d), +8.58% (28d), +12.04% (56d); Cylindrical (w/c 0.45): +2.98% (7d), +7.00% (14d), +8.99% (28d), +12% (56d); Cylindrical (w/c 0.50): +2.94% (7d), +6.91% (14d), +8.56% (28d), +11.54% (56d); Cylindrical (w/c 0.60): +2.27% (7d), +6.53% (14d), +7.31% (28d), +10.61% (56d)",,,,,,,,,,,,,,°C,,°C,hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,N/mm^2,%,,,,,,,,
46,Study on concrete with rice husk ash,"Ayesha Siddika, Md. Abdullah Al Mamun, Md. Hedayet Ali",Innovative Infrastructure Solutions,2018,https://doi.org/10.1007/s41062-018-0127-6,Rice Husk Ash (RHA),Rice husk,Grinding in a mechanical grinder,10 min,Mechanical Activation,Grinding for 10 minutes,,,,Grinding in a mechanical grinder,10,,,"0.40, 0.50, 0.60",,,,,,,,,,2.01,106,,,,,,,,,,,,,,,,,,,"10, 15",10,"23.2, 27.4, 35 (W4A10); 20.9, 25.7, 30.9 (W5A10); 18.9, 22.4, 28.8 (W6A10); 21, 26, 31 (W4A15); 17.5, 23, 28.6 (W5A15); 16.3, 20.2, 26 (W6A15)",98.4% (W4A10); 97.5% (W5A10); 97.96% (W6A10); 87.1% (W4A15); 90.22% (W5A15); 88.44% (W6A15),,,,,"1.25, 2.40, 4.85 (W4A10); 1.13, 2.18, 4.69 (W5A10); 1.06, 1.97, 4.13 (W6A10); 1.21, 2.33, 3.96 (W4A15); 1.12, 2.16, 3.87 (W5A15); 1.05, 1.95, 3.58 (W6A15)",93.09% (W4A10); 91.42% (W5A10); 83.44% (W6A10); 76.01% (W4A15); 75.44% (W5A15); 72.32% (W6A15),,,,,,min,,min,,,,,min,,,,,,,,,,,,,,kg/m³,,,,,,,,,,,,,,,,,,,%,%,N/mm²,%,,,,,N/mm²,%,,
47,Green concrete partially comprised of rice husk ash as a supplementary cementitious material  A comprehensive review,Blessen Skariah Thomas,Renewable and Sustainable Energy Reviews,2018,10.1016/j.rser.2017.10.081,"Rice Husk Ash (RHA), white rice husk ash, off-white rice husk ash, black rice husk ash",Rice husk / Rice paddy,Controlled combustion / Incineration / Thermal decomposition / Acid treatment prior to burning,Temperature: 500700°C; Heating rate: 10°C/min up to 700°C/min; Duration: ~6 h (or 3 h for muffle furnace); HCl treatment: 1 N for 24 h,Chemical activation / Mechanical activation (Grinding) / Thermal treatment / Acid treatment,"Chemical activators: 1% K2SO4, 1% Na2SiO3 (by weight of cement)",,500700 (or 600),3 to 6,Grinding,,,Hydrochloric acid treatment (1 N for 24 h),"0.30, 0.32, 0.34, 0.35, 0.40, 0.50, 0.65",,,,,5.0 - 7.41,"240.0376.8 (Blaine) / 24.328.8 (Nitrogen adsorption) / 40915685 / 274,000 (treated RHA)",,240.0 - 376.8 (also reported as 4000 and 7000 cm²/g),,2.06 - 2.16,420.0 - 429.1,87.4 - 93.15,0.80 - 1.10,0.13 - 0.83,0.1 - 0.6,0.2 - 0.6,0.1 - 0.4,0.04 - 0.7,1.32 - 3.39,1.9 - 8.5,MnO: 0 - 0.2,"Cristobalite, Tridymite, Quartz",,Approximately 90 / >75,,81.25 - 88.90,,,,"5, 7.5, 10, 14.3, 15, 20, 25, 30, 40, 50","10 to 20 (specifically cited as 10%, 14.3%, 15%, or 20% depending on study)","75.2 (at 28 days, 20% RHA, w/b 0.35)","3 days: 65%; 90 days: 96%; 180 days: 98%; 270 days: 100%; 360 days: 102% (20% RHA); 7, 28, 56 days (bacterial 10% RHA): +8.7%, +10%, +13.4%",,,,,,"28 days: reduced by 2%, 11%, 14% for 10%, 20%, 30% RHA respectively",622 to 729 (drying shrinkage),,,,,"°C, °C/min, h, N",,%,,°C,h,,,,"N, h",,,,,,µm,"m²/kg, cm²/g",,"m²/kg, cm²/g",,,kg/m³,%,%,%,%,%,%,%,%,%,%,,,%,,%,,,,%,%,MPa,%,,,,,,%,microstrains,
48,Use of Rice Husk Ash as Cementitious Material in Concrete,"Naraindas Bheel, Ali Aizaz Dayo, Abdul Wahab Abro, Sultan Shaikh, Irfan Ali Shar, Zubair Hussain Shaikh","Engineering, Technology & Applied Science Research",2019,,Rice Husk Ash (RHA),Rice husk from Sakrand region,Uncontrolled temperature burning method,Sieved through #30 sieves,Thermal treatment and mechanical sieving,Uncontrolled temperature burning; sieved through #30 sieves,,Uncontrolled temperature,,Sieving through #30 sieves,,,Air-dried before burning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0, 5, 10, 15, 20",10,"7-day: 23.5 (0%), 24.0 (5%), 24.5 (10%), 22.5 (15%), 21.5 (20%); 14-day: 26.8 (0%), 28.2 (5%), 29.4 (10%), 25.6 (15%), 23.6 (20%); 28-day: 31.8 (0%), 33.9 (5%), 35.6 (10%), 30.4 (15%), 25.9 (20%)",111.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,N/mm²,%,,,,,,,,
49,A STUDY ON USE OF RICE HUSK ASH IN CONCRETE,"Ankit Gautam, Rahul Batra, Nishant Singh",Engineering Heritage Journal (GWK),2019,http://doi.org/10.26480/gwk.01.2019.01.04,Rice Husk Ash (RHA),Rice husk / Paddy,Burning of husk in boiler or ferrocement furnace,Temperature around 500800°C for 24 hours; air ducts provided to control temperature and reduce carbon content,Thermal treatment (controlled burning),"Controlled burning at 500800°C for 24 hours, cooled to ~52°C after 24 hours and ~25°C after 48 hours",,500800,24,,,,Air ducts with electric fans attached to control combustion temperature and reduce carbon content,0.40,,,,,25,,,,,2.3,,8090,,,,,,,,,,,,8090% amorphous silica,"Pozzolanic behavior depends upon silica crystallization phase, silica content, size, and surface area of ash",,,,,"0, 5, 7.5, 10, 12.5, 15",7.5,"7-day: 27.8 (0%), 26.6 (5%), 28.3 (7.5%), 27.3 (10%), 26.2 (12.5%), 25.9 (15%);
28-day: 41.70 (0%), 39.90 (5%), 42.45 (7.5%), 40.95 (10%), 39.30 (12.5%), 38.85 (15%)",,,,,,,,,,,,,°C / hours,,°C / hours,,°C,hours,,,,,,,,,,microns,,,,,,,%,,,,,,,,,,,,%,,,,,,%,%,MPa,,,,,,,,,
